,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",1111A0,US,168998948.5207588,6313556.670065219,92353780.4944316,120914.40119549948,0.0,452458491.5908636,1598500091432.0518,1672301393175.922,32506496959.2034,1838648.4660644445,9.371884770389874,141.16750238591501,231435074.64545235,150.53938715630485,4128.291408474787,419132722849.7988,0.0,0.0,0.0,21864744.67177108,0.0,605390247.7075886,26052442787.117126
1,"Fresh wheat, corn, rice, and other grains",1111B0,US,1237848688.0332615,11912172.49644986,174249511.25703788,146449.02291156485,0.0,2751482990.7328587,971849219281.8906,40219739581076.13,180796566681.77878,8598787.216449268,67.91305431435902,182.86913043256286,507241971.0100704,250.78218474692164,49899.40836053987,841429949437.2633,0.0,0.0,0.0,56832725.34131514,0.0,2431744926.7753806,25271121257.369175
2,"Fresh vegetables, melons, and potatoes",111200,US,90335953.20518531,3655473.407311768,53471728.59240069,73263.38103022212,66678924.14062715,150470392.05704212,536885721887.5861,6970902950701.393,9514220420.885595,926801.4966875357,3.3625622402247344,56.70923670459326,13069213.62574149,60.071798944818,99521.67547165672,22057834097.9898,0.0,0.0,186480.1122009833,24994398.351410713,66678924.14062715,219748513.8472766,8072573420.744248
3,Fresh fruits and tree nuts,111300,US,102988249.35269965,8261632.837787873,120849952.83123101,149748.1870804273,0.0,7474251.826057836,774387274946.4222,28979058416838.785,15945551390.448439,1066747.8397310923,4.850627132854867,53.538215338702884,4547512.910363637,58.388842471557716,228421.45746273344,36139132305.39158,0.0,0.0,56692.18928032655,19770816.833628222,0.0,315269981.33746064,23469664804.272373
4,"Greenhouse crops, mushrooms, nurseries, and flowers",111400,US,51524356.118958175,2636342.735951685,36647943.78516047,28539.4981264995,112373.45831131295,3247502.760683432,14505952.722639728,23197996172.025925,10969286732.653461,752076.3121467438,4.615182408743538,24.652965867322244,2738497.5578741482,29.268148276065787,99269.92087632793,4972849288.07894,0.0,0.0,25.09377547889444,0.0,112373.45831131295,284471277.3833032,10584483458.635038
5,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",111900,US,68347812.72090547,2680676.679510421,39212545.103372715,62640.71075059131,113274507.20604196,78207857.14106828,420569914845.59064,6068934542482.097,18514469207.251133,2211345.31740618,9.140766009886075,97.36610482763615,149375433.5784637,106.50687083752226,33036.40371440863,408780034170.0307,0.0,0.0,0.0,5978131.010416249,113274507.20604196,263570697.8447649,9837002685.14063
6,Dairies,112120,US,761467212.8362029,2846208.8876066157,41633925.94313428,23753.165251741535,0.0,64762547.39080695,32762121.55910581,443703692838.7421,85391517815.7231,13179104.465640957,7.935471206278564,36.79384675707751,51622186.02744856,44.72931796335607,96657.26695963922,90911251570.66707,0.0,0.0,0.0,0.0,0.0,633293052.4990958,7388826061.643058
7,Cattle ranches and feedlots,1121A0,US,1264565205.8467286,7373878.786473478,107864016.80794774,61539.039571126414,0.0,117351587.18086442,53506932.663957365,13760295994018.885,221332276887.445,3748611.8135411306,17.403192239170416,80.46217808107751,381108278.38781685,97.86537032024796,52717.04915440876,2608256898377.3315,0.0,0.0,0.0,0.0,0.0,1349490680.622016,25370451670.98414
8,Poultry farms,112300,US,664048456.7995691,3577799.359502144,52335524.027612455,32679.67938755092,0.0,42747014.687236525,20593899.757488076,760667329142.4163,15925814497.15659,4906782.666874117,5.737641311418854,32.01410318043491,42143130.85628527,37.75174449185377,36368.687718208,27776789514.601902,0.0,0.0,0.14964402783597414,0.0,0.0,448787963.4068754,3697495241.404314
9,Animal farms and aquaculture ponds (except cattle and poultry),112A00,US,1934448261.5610905,3806114.4301921325,55434303.05906959,97660.48687965238,485034.9355886258,129567166.29787692,1811050316.1820486,21446392109303.75,65210269599.52727,5267395.4789806325,4.588360806492789,21.415424180137116,85120481.21099693,26.00378498662989,79365.91750256582,730745811702.8287,0.0,0.0,0.3155553883696565,0.0,485034.9355886258,602137916.1195943,28379108660.084286
